artist_name,wikipedia_summary
Ty Dolla $ign,"Tyrone William Griffin Jr. (born April 13, 1982), known professionally as Ty Dolla Sign (stylized as Ty Dolla $ign or Ty$), is an American singer, songwriter, record producer and rapper. Born and raised in Los Angeles, California, Griffin gained initial recognition for his guest appearance on fellow Los Angeles rapper YG's 2010 single ""Toot It and Boot It"", which entered the Billboard Hot 100. He signed with Atlantic Records in 2012, and Wiz Khalifa's Taylor Gang Entertainment the following year.
Griffin saw further mainstream recognition for his debut commercial extended play (EP), Beach House EP (2014). Its release was preceded by his 2013 single ""Paranoid"" (featuring B.o.B), which marked his first entry—at number 29—on the Billboard Hot 100 as a lead artist. Its 2014 follow-up, ""Or Nah"" (featuring Wiz Khalifa and DJ Mustard, remixed with the Weeknd) was met with continued success and received sextuple platinum certification from the Recording Industry Association of America (RIAA). His debut studio album, (2015), peaked at number 14 on the 200 and was supported by the platinum-certified singles ""Blasé"" (featuring Future and Rae Sremmurd) and ""Saved"" (featuring E-40). His second album, (2017) peaked at number 11 on the 200, while his third album, (2020) peaked at number four. He has released the collaborative albums (2018) with Jeremih, (2021) with Dvsn, and and (2024) with Kanye West— became his first to debut atop the 200."
Playboi Carti,"Jordan Terrell Carter (born September 13, 1995 or 1996), known professionally as Playboi Carti, is an American rapper. He first signed with local underground record label Awful Records in 2014, and later signed with ASAP Mob's record label AWGE, in a joint venture with Interscope Records two years later. Carter gained mainstream attention following the release of his eponymous debut mixtape (2017), which peaked at number 12 on the U.S. Billboard 200 and spawned the Billboard Hot 100-charting singles ""Magnolia"" and ""Wokeuplikethis"" (featuring Lil Uzi Vert).
Carter's debut studio album Die Lit (2018) saw further commercial success, peaking at number three on the Billboard 200. Following a two-year hiatus, his second studio album, Whole Lotta Red (2020) debuted atop the chart and was met with positive reviews; it was listed as among the best albums of that year by and , with ranking it on their list of the ""200 Greatest Hip-Hop Albums of All Time"". He guest performed on ¥$'s 2024 single, ""Carnival"", which became his first song to peak atop the Hot 100. Carter's third studio album, (2025), was given similarly positive reviews and became his second consecutive number-one album on the 200."
Rich the Kid,"Dimitri Leslie Roger (born July 13, 1992), known professionally as Rich the Kid, is an American rapper. After a number of independent mixtapes, he signed with Interscope Records in 2017 to release his debut studio album, The World Is Yours (2018). Supported by the singles ""New Freezer"" (featuring Kendrick Lamar) and ""Plug Walk"", the album peaked at number two on the Billboard 200. His second and third studio albums, The World Is Yours 2 (2019) and Boss Man (2020) peaked at numbers four and 24 on the chart, respectively. He has also released the collaborative mixtapes Nobody Safe (2020) with YoungBoy Never Broke Again, and Trust Fund Babies (2021) with Lil Wayne. Furthermore, he founded the record label Rich Forever Music in 2016, through which he has signed rappers Famous Dex and Jay Critch."
Eazy‐E,"Eric Lynn Wright (September 7, 1964 – March 26, 1995), known professionally by his stage name Eazy-E, was an American rapper who propelled West Coast rap and gangsta rap by leading the group N.W.A and its label, Ruthless Records. He is often referred to as the ""Godfather of Gangsta Rap"".
Born and raised in Compton, California, Wright had several legal troubles before founding Ruthless in 1987. After a short solo career with frequent collaboration with Ice Cube and Dr. Dre, they joined, forming N.W.A, later that year. N.W.A's debut studio album, Straight Outta Compton, was released in 1989. Controversial upon release, it is now ranked among the greatest and most influential albums ever. The group released its second and final studio album, , in 1991, and soon after disbanded."
Rodney O & Joe Cooley,"Rodney-O & Joe Cooley, consisting of rapper Rodney Oliver, also known as ""Rodney O"", DJ Joe Cooley (August 15 1965) and Jeffrey Page, also known as ""General Jeff"", is an American rap group from Southern California. Rodney O, from Riverside, and Joe Cooley, from Compton, and General Jeff, from Los Angeles. Best known for tracks such as ""Everlasting Bass,"" ""Cooley High,"" and ""This is for the Homies."" At the height of their popularity, the group toured with MC Lyte, N.W.A, Kool Moe Dee and Grandmaster Flash. The group would gain more popularity in South Florida than their native Southern California, giving them a pioneering role in Miami bass.
In 2015, Rolling Stone named “Everlasting Bass” as one of the 20 greatest West Coast Rap Songs released prior to N.W.A's 1989 album Straight Outta Compton. After over a decade of silence, the group announced that they were planning a new album in 2011. The album was tentatively titled , but only the single ""That Supa Radio"" materialized."
Lil Wayne,"Bryan Christopher Williams (né Brooks; February 15, 1969), better known by his stage names Birdman or Baby, is an American rapper and record executive. He is the public face of Cash Money Records, a record label he co-founded with his older brother, Ronald ""Slim"" Williams, in 1991. Birdman released his eponymous debut studio album in 2002, and released three follow-up albums—Fast Money (2005), 5 * Stunna (2007), and Priceless (2009)—to moderate commercial success and mixed critical reception. Along with his solo career, he is a member of the hip hop duo Big Tymers with producer Mannie Fresh, as well as the supergroup Cash Money Millionaires.
Apart from his solo work and five releases as part of Big Tymers, Birdman is best known for his discovery and mentorship of fellow New Orleans rapper Lil Wayne, with whom he released the collaborative album, (2006). As label-head of Cash Money Records, he has been central to the career and commercial success of Wayne, as well as future signees including Drake, Nicki Minaj, and Tyga. Many acts were signed in a joint venture with Wayne's Young Money Entertainment (branded as ""YMCMB""), a label that ran as an imprint of Cash Money from its formation in 2005 until 2018. Birdman also founded the spin-off project Rich Gang in 2014, a loose-knit collective assembled from core signees of both labels; it was joined and soon led by then-upcoming Southern rappers Young Thug and Rich Homie Quan, as well as other artists not directly signed to the labels."
Birdman,"Dwayne Michael Carter Jr. (born September 27, 1982), known professionally as Lil Wayne, is an American rapper. He is often regarded as one of the most influential hip hop artists of his generation, as well as one of the greatest rappers of all time. Born and raised in New Orleans, he was discovered by hometown rapper Birdman in 1993 and signed with his record label, Cash Money Records, at age eleven. He emerged as the label's flagship artist until his departure in June 2018.
He was first placed in a duo with Cash Money labelmate B.G. (then known as Lil Doogie) in 1994—known collectively as the B.G.'z—and they released an album, True Story, in July of that year, although Carter (at the time known as Baby D) appeared on only three its tracks. Carter and B.G. then formed the Southern hip-hop group Hot Boys with labelmates Juvenile and Turk in 1997; they released their debut album, in October of that year. The Hot Boys gained mainstream success following the release of their second album (1999), and their appearance on B.G.'s single, ""Bling Bling"". The group briefly disbanded after the album due to each member (besides Carter) parting ways with the label, although one further album— (2003)—was released."
Monk Higgins,"Milton Bland (October 3, 1936 – July 3, 1986), better known as Monk Higgins, was an American composer, producer, arranger, tenor saxophonist, keyboardist, and music executive born in Menifee, Arkansas."
YG,"Keenon Dequan Ray Jackson (born March 9, 1990), better known by his stage name YG (short for Young Gangsta), is an American rapper. He released his debut mixtape 4Fingaz in 2008, and its follow-up, The Real 4Fingaz, the following year. The latter gained recognition for its local hit song ""Toot It and Boot It"", which entered the Billboard Hot 100 at number 67 and received platinum certification by the Recording Industry Association of America (RIAA). He signed a recording contract with Def Jam Recordings in October 2009, which entered joint-venture with Atlanta-based rapper Jeezy's record label, CTE World, in 2013.
His 2013 single, ""My Nigga"" (featuring Jeezy and Rich Homie Quan), peaked at number 19 on the Billboard Hot 100. The song and its follow-ups, ""Left, Right"" (featuring DJ Mustard) and ""Who Do You Love?"" (featuring Drake), preceded the release of his debut studio album, (2014), which peaked at number two on the 200 and saw positive critical reception. Also in 2014, he guest appeared on Jeremih's single ""Don't Tell 'Em"", which peaked at number six on the Hot 100 and remains his highest-charting song. His second album, (2016), was met with critical acclaim despite less commercial orientation, as it explored political and social issues for its subject matter."
2Pac,"Tupac Amaru Shakur ( ; born Lesane Parish Crooks; June 16, 1971 – September 13, 1996), also known by his stage names 2Pac and Makaveli, was an American rapper and actor. He is regarded as one of the greatest and most influential rappers of all time. Academics regard him as one of the most influential music artists of the 20th century and a prominent political activist for Black America. In addition to his music career, Shakur also wrote poetry and starred in films. He is among the best-selling music artists, having sold more than 75 million records worldwide. His lyrical content has been noted for addressing social injustice, political issues, and the marginalization of other African-Americans, but he was also synonymous with gangsta rap and violent lyrics."
Outlawz,"Outlawz was an American hip-hop group founded by Tupac Shakur and Yafeu Fula in 1995. Originally known as Thoro Headz and Young Thugs, the group attracted attention with their appearance on Tupac's song ""Flex"", which was the B-side of his single ""Holler If Ya Hear Me"", released on February 4, 1993.
The group formed as Dramacydal and appeared on the tracks ""Me Against the World"" and ""Outlaw"" from Shakur's album Me Against the World, released on March 14, 1995."
Debbie Deb,"Deborah Claire Wesoff-Kowalski (born March 10, 1966), known professionally as Debbie Deb, is an American singer and songwriter best known for her 1980s freestyle dance singles ""Lookout Weekend"" and ""When I Hear Music""."
J. Cole,"Jermaine Lamarr Cole (born January 28, 1985) is an American rapper and record producer. Born in a military base in Germany and raised in Fayetteville, North Carolina, Cole initially gained attention as a rapper following the release of his debut mixtape, The Come Up, in early 2007. Intent on further pursuing a musical career, he signed with Jay-Z's Roc Nation in 2009 and released two additional mixtapes: The Warm Up (2009) and Friday Night Lights (2010) to further critical acclaim as he garnered a wider following.
Each of Cole's studio albums have peaked atop the US Billboard 200, beginning with his debut, Cole World: The Sideline Story (2011), and its follow-up, Born Sinner (2013). Both met with critical acclaim, the albums spawned the Billboard Hot 100-top 40 singles ""Work Out"", ""Power Trip"" (featuring Miguel), and ""Crooked Smile"" (featuring TLC). Despite commercial success, Cole departed from the pop-oriented sound of the albums in favor of conscious subject matter for his subsequent projects; themes of nostalgia, racial inequality, and materialism were explored respectively in his following releases: (2014), (2016) and (2018). yielded his furthest commercial success—selling an estimated 500,000 album-equivalent units in its first week, while the latter featured a then-record six simultaneous top 20 hits on the Hot 100—the first time a musical act achieved this feat since English rock band the Beatles in 1964. His sixth album, (2021), was met with continued success and spawned the single ""My Life"" (with 21 Savage and Morray), which peaked at number two on the Hot 100. Its chart success was matched by his guest appearance on the 2023 single ""All My Life"" by Lil Durk, and succeeded by his first song to peak the chart, ""First Person Shooter"" by Drake that same year. The former also won Cole a Grammy Award for Best Melodic Rap Performance."
Akiko Yano,"Akiko Yano (矢野 顕子, Yano Akiko, born Akiko Suzuki (鈴木 顕子, Suzuki Akiko); February 13, 1955) is a Japanese pop and jazz musician and singer born in Tokyo and raised in Aomori and later began her singing career in the mid-1970s. She has been called ""one of the major musical talents of the Japanese popular music world"", and her vocals and singing style have been compared to English singer Kate Bush (who she predates by several years).
She has recorded with Yellow Magic Orchestra and its members Ryuichi Sakamoto, Haruomi Hosono and Yukihiro Takahashi, as well as with Swing Out Sister, Pat Metheny, The Chieftains, Lyle Mays, members of Little Feat, David Sylvian, Mick Karn, Kenji Omura, Gil Goldstein, Toninho Horta, Mino Cinelu, Jeff Bova, Charlie Haden, Peter Erskine, Anthony Jackson, David Rhodes, Bill Frisell, Thomas Dolby, the band Quruli, Rei Harakami as Yanokami and her daughter Miu Sakamoto."
Luke,"Luther Roderick Campbell (born December 22, 1960), also known as Luke Skyywalker, Uncle Luke and simply Luke, is an American rapper, promoter, record executive, actor, and former leader of the rap group 2 Live Crew. He is known for having helped create the Miami bass genre, for establishing one of the first rap groups and rap labels in Southern hip hop, and his sexually crude call and response lyrics which were unique for the time period. He also starred in a short-lived show on VH1, Luke's Parental Advisory."
John Barry,"John Barry Prendergast (3 November 1933 – 30 January 2011) was an English composer and conductor of film music. Born in York, Barry spent his early years working in cinemas owned by his father. During his national service with the British Army in Cyprus, Barry began performing as a musician after learning to play the trumpet. Upon completing his national service, he formed a band in 1957, the John Barry Seven. He later developed an interest in composing and arranging music, making his début for television in 1958. He came to the notice of the filmmakers of the first James Bond film Dr. No, who were dissatisfied with a theme for James Bond given to them by Monty Norman. Noel Rogers, the head of music at United Artists, approached Barry. This started a successful association between Barry and the Bond series that lasted for 25 years."
AI for the Culture,"Ai Carina Uemura (植村 愛 カリーナ, Uemura Ai Karīna, born November 2, 1981), known mononymously as Ai (Japanese pronunciation: [ai], stylized as AI or A.I. ), is a Japanese-American singer, songwriter and rapper. Born in Los Angeles, Ai moved to Kagoshima at age four. Motivated to become a singer, she returned to Los Angeles during her adolescence, attending the Los Angeles County High School for the Arts. While in Los Angeles, she performed as part of a gospel choir at a Mary J. Blige concert and appeared as a backup dancer in Janet Jackson's music video, ""Go Deep"". She briefly joined the Asian girl group SX4 in 1999 until she graduated high school."
The Notorious B.I.G.,"Christopher George Latore Wallace (May 21, 1972 – March 9, 1997), better known by his stage names the Notorious B.I.G., Biggie Smalls, and Biggie, was an American rapper. Rooted in the New York rap scene and gangsta rap traditions, he is widely considered one of the greatest rappers of all time. Wallace became known for his distinctive, laidback lyrical delivery, offsetting his lyrics' often grim content. His music was usually semi-autobiographical, telling of hardship and criminality but also of debauchery and celebration.
Born and raised in Brooklyn, New York City, Wallace was the first artist to sign with Sean ""Puffy"" Combs's Bad Boy Records in 1993. That same year, he gained recognition for his guest appearances on other artists' singles. His debut studio album, Ready to Die (1994), received widespread critical acclaim and included signature tracks ""Juicy"" and ""Big Poppa"". This album made him the central figure in East Coast hip hop, helping to restore New York's prominence at a time when the West Coast was dominating the genre. In 1995, Wallace was named Rapper of the Year at the Music Awards. That same year, Wallace and his protégé group, Junior M.A.F.I.A.—which included longtime friends like Lil' Kim—released their debut album, (1995)."
ExpertVillage Leaf Group,"Carbon Leaf is a quintet from Richmond, Virginia, known for their alt-country, Celtic, and folk-infused indie rock. Though some of the band members have changed through the years, Carbon Leaf has been consistently creating and performing music since the early 1990s. The band currently consists of founding members Barry Privett, Carter Gravatt, and Terry Clark, as well as Jon Markel and Jesse Humphrey. Carbon Leaf is best known for the song ""Life Less Ordinary"", which debuted in 2004 and reached #5 on Billboard's Adult Alternative charts."
Jadakiss,"Jason Terrance Phillips (born May 27, 1975), better known by his stage name Jadakiss (, JAY-duh-kiss), is an American rapper who began his career in the 1990s and formed the hip hop trio the Lox alongside Styles P and Sheek Louch in 1994. The group signed with Puff Daddy's Bad Boy Records, an imprint of Arista Records to release their debut studio album, Money, Power & Respect (1998); their second album, We Are the Streets (2000) was released by Ruff Ryders Entertainment, an imprint of Interscope Records. Both peaked within the top five of the Billboard 200 and yielded critical praise; their two subsequent albums, Filthy America... It's Beautiful (2016) and Living Off Xperience (2020) were both released by Jay-Z's Roc Nation and met with continued praise."
Travis Scott,"Jacques Bermon Webster II (born April 30, 1991), known professionally as Travis Scott (formerly stylized as Travi$ Scott), is an American rapper, singer, songwriter, and record producer. Scott has had five number-one hits on the U.S. Billboard Hot 100 chart, along with a total of over one hundred charting songs. In addition to ten Grammy Award nominations, he has won a Latin Grammy Award, Billboard Music Award, MTV Video Music Award, and several BET Hip Hop Awards. Scott's musical style has been described as a ""blend between traditional hip-hop and lo-fi"" and often characterized as ""ambient,"" with a heavily appraised influence from rappers Kanye West and Kid Cudi. His stage name is derived from the latter's real name, Scott Mescudi, combined with the name of a favorite uncle."
Lil Jon,"Jonathan H. Smith (born January 17, 1971), better known by his stage name Lil Jon, is an American rapper, DJ, and record producer. Regarded as a progenitor of the club-oriented hip-hop subgenre crunk, his production and voice presence were instrumental in the genre's commercial breakthrough in the early 2000s. He was also the frontman of the crunk group Lil Jon & the East Side Boyz, with whom he has released five albums.
Having been credited on most crunk releases throughout the 2000s, Lil Jon produced several of the genre's Billboard Hot 100 hits including ""Salt Shaker"" by Ying Yang Twins, ""Cyclone"" by Baby Bash, ""Damn!"" by YoungBloodZ, ""Freek-a-Leek"" by Petey Pablo, ""Goodies"" by Ciara, and ""Yeah!"" by Usher. The latter won Lil Jon a Grammy Award for Best Rap/Sung Performance as part of his five Grammy Award nominations. As a lead artist, three of his own singles — ""Lovers and Friends"" (with the East Side Boyz featuring Usher and Ludacris), ""Get Low"" (with the East Side Boyz featuring Ying Yang Twins), and ""Snap Yo Fingers"" (featuring E-40 and Sean P) — have peaked within the chart's top ten. His debut studio album, (2010), was met with lukewarm critical and commercial response."
Barry White,"Barry Eugene White (né Carter; September 12, 1944 – July 4, 2003) was an American singer and songwriter. A two-time Grammy Award winner known for his bass voice and romantic image, his greatest success came in the 1970s as a solo singer and with the Love Unlimited Orchestra, crafting many enduring R&B, soul, funk, and disco songs such as his two biggest hits: ""Can't Get Enough of Your Love, Babe"" and ""You're the First, the Last, My Everything"".
White recorded 20 studio albums during the course of his career, but multiple versions and compilations were released worldwide that were certified gold, 41 of which also attained platinum status. White had 20 gold and 10 platinum singles, with worldwide record sales in excess of 100 million records, and is one of the best-selling music artists of all time. His influences included James Cleveland, Ray Charles, Aretha Franklin, the Supremes, the Four Tops, and Marvin Gaye."
Ludwig van Beethoven,"Ludwig van Beethoven (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. He is one of the most revered figures in the history of Western music; his works rank among the most performed of the classical music repertoire and span the transition from the Classical period to the Romantic era in classical music. His early period, during which he forged his craft, is typically considered to have lasted until 1802. From 1802 to around 1812, his middle period showed an individual development from the styles of Joseph Haydn and Wolfgang Amadeus Mozart, and is sometimes characterised as heroic. During this time, Beethoven began to grow increasingly deaf. In his late period, from 1812 to 1827, he extended his innovations in musical form and expression."
Sly & the Family Stone,"Sly and Robbie were a prolific Jamaican rhythm section and production duo, associated primarily with the reggae and dub genres. Drummer Sly Dunbar and bassist Robbie Shakespeare teamed up in the mid-1970s after establishing themselves separately in Jamaica as professional musicians. Shakespeare died in December 2021 following kidney surgery."
The Temptations,"The Temptations is an American vocal group formed in Detroit, Michigan in 1961 as The Elgins, known for their string of successful singles and albums with Motown from the 1960s to the mid-1970s. The group's work with producer Norman Whitfield, beginning with the Top 10 hit single ""Cloud Nine"" in October 1968, pioneered psychedelic soul, and was significant in the evolution of R&B and soul music. The group members were known for their choreography, distinct harmonies, and dress style. Having sold tens of millions of albums, the Temptations are among the most successful groups in popular music.
Featuring five male vocalists and dancers (save for brief periods with fewer or more members), the group's founding members came from two rival Detroit vocal groups: Otis Williams, Elbridge ""Al"" Bryant, and Melvin Franklin of , and Eddie Kendricks and Paul Williams of . In 1964, Bryant was replaced by David Ruffin, who was the lead vocalist on a number of the group's biggest hits, including ""My Girl"" (1964), ""Ain't Too Proud to Beg"" (1966), and ""I Wish It Would Rain"" (1967). Ruffin was replaced in 1968 by Dennis Edwards, with whom the group continued to record hit records such as ""Cloud Nine"" (1968), ""I Can't Get Next to You"" (1969), and ""Ball of Confusion (That's What the World Is Today)"" (1970). Kendricks and Paul Williams both left the group in 1971, with subsequent members including Richard Street, Damon Harris, Glenn Leonard, Ron Tyson, and Ali-Ollie Woodson, the last of whom was the lead singer on late-period hit ""Treat Her Like a Lady"" in 1984 and the theme song for the children's movement program in 1987."
DX-J and the Bassonlians,"Bruce Frederick Joseph Springsteen (born September 23, 1949) is an American rock singer, songwriter, and guitarist. Nicknamed ""the Boss"", Springsteen has released 21 studio albums spanning six decades; most of his albums feature the E Street Band, his backing band since 1972. Springsteen is a pioneer of heartland rock, combining commercially successful rock with poetic, socially conscious lyrics that reflect working class American life. He is known for his energetic concerts, some of which last more than four hours.
Springsteen released his first two albums, Greetings from Asbury Park, N.J. and The Wild, the Innocent & the E Street Shuffle, in 1973. Although both were well-received by critics, neither earned him a large audience. He changed his style and achieved worldwide popularity with Born to Run (1975). Springsteen followed with (1978) and (1980), Springsteen's first album to top the 200 chart. After the solo acoustic album (1982), he recorded (1984) with the E Street Band, which became his most commercially successful album and the 23rd-best selling album of all time as of 2024. All seven singles from reached the Top 10 of the Hot 100, including the title track. Springsteen mostly hired session musicians for the recording of his next three albums, (1987), (1992), and (1992). He reassembled the E Street Band for (1995), and recorded the acoustic album (1995) and the EP (1996) solo."
Detroit Emeralds,"The Detroit Emeralds are an American R&B/soul vocal group, best known in the early 1970s. They enjoyed a run of successful records in the decade including their 1973 transatlantic hit single, ""Feel the Need in Me""."
